date,value,my,year
12/15/2003,1.521,12/2003,2003
12/22/2003,1.549,12/2003,2003
12/29/2003,1.544,12/2003,2003
01/05/2004,1.578,01/2004,2004
01/12/2004,1.634,01/2004,2004
01/19/2004,1.667,01/2004,2004
01/26/2004,1.691,01/2004,2004
02/02/2004,1.679,02/2004,2004
02/09/2004,1.695,02/2004,2004
02/16/2004,1.703,02/2004,2004
02/23/2004,1.726,02/2004,2004
03/01/2004,1.749,03/2004,2004
03/08/2004,1.777,03/2004,2004
03/15/2004,1.762,03/2004,2004
03/22/2004,1.784,03/2004,2004
03/29/2004,1.802,03/2004,2004
04/05/2004,1.823,04/2004,2004
04/12/2004,1.826,04/2004,2004
04/19/2004,1.856,04/2004,2004
04/26/2004,1.859,04/2004,2004
05/03/2004,1.892,05/2004,2004
05/10/2004,1.981,05/2004,2004
05/17/2004,2.056,05/2004,2004
05/24/2004,2.104,05/2004,2004
05/31/2004,2.084,05/2004,2004
06/07/2004,2.064,06/2004,2004
06/14/2004,2.014,06/2004,2004
06/21/2004,1.961,06/2004,2004
06/28/2004,1.947,06/2004,2004
07/05/2004,1.922,07/2004,2004
07/12/2004,1.951,07/2004,2004
07/19/2004,1.971,07/2004,2004
07/26/2004,1.948,07/2004,2004
08/02/2004,1.931,08/2004,2004
08/09/2004,1.923,08/2004,2004
08/16/2004,1.925,08/2004,2004
08/23/2004,1.936,08/2004,2004
08/30/2004,1.911,08/2004,2004
09/06/2004,1.901,09/2004,2004
09/13/2004,1.9,09/2004,2004
09/20/2004,1.923,09/2004,2004
09/27/2004,1.979,09/2004,2004
10/04/2004,1.987,10/2004,2004
10/11/2004,2.035,10/2004,2004
10/18/2004,2.07,10/2004,2004
10/25/2004,2.068,10/2004,2004
11/01/2004,2.074,11/2004,2004
11/08/2004,2.042,11/2004,2004
11/15/2004,2.013,11/2004,2004
11/22/2004,1.993,11/2004,2004
11/29/2004,1.994,11/2004,2004
12/06/2004,1.96,12/2004,2004
12/13/2004,1.893,12/2004,2004
12/20/2004,1.873,12/2004,2004
12/27/2004,1.851,12/2004,2004
01/03/2005,1.839,01/2005,2005
01/10/2005,1.862,01/2005,2005
01/17/2005,1.893,01/2005,2005
01/24/2005,1.929,01/2005,2005
01/31/2005,1.982,01/2005,2005
02/07/2005,1.978,02/2005,2005
02/14/2005,1.96,02/2005,2005
02/21/2005,1.966,02/2005,2005
02/28/2005,1.989,02/2005,2005
03/07/2005,2.063,03/2005,2005
03/14/2005,2.123,03/2005,2005
03/21/2005,2.177,03/2005,2005
03/28/2005,2.225,03/2005,2005
04/04/2005,2.284,04/2005,2005
04/11/2005,2.337,04/2005,2005
04/18/2005,2.288,04/2005,2005
04/25/2005,2.285,04/2005,2005
05/02/2005,2.278,05/2005,2005
05/09/2005,2.23,05/2005,2005
05/16/2005,2.202,05/2005,2005
05/23/2005,2.165,05/2005,2005
05/30/2005,2.14,05/2005,2005
06/06/2005,2.165,06/2005,2005
06/13/2005,2.186,06/2005,2005
06/20/2005,2.213,06/2005,2005
06/27/2005,2.266,06/2005,2005
07/04/2005,2.273,07/2005,2005
07/11/2005,2.373,07/2005,2005
07/18/2005,2.354,07/2005,2005
07/25/2005,2.323,07/2005,2005
08/01/2005,2.324,08/2005,2005
08/08/2005,2.404,08/2005,2005
08/15/2005,2.603,08/2005,2005
08/22/2005,2.666,08/2005,2005
08/29/2005,2.665,08/2005,2005
09/05/2005,3.138,09/2005,2005
09/12/2005,3.003,09/2005,2005
09/19/2005,2.831,09/2005,2005
09/26/2005,2.865,09/2005,2005
10/03/2005,3.023,10/2005,2005
10/10/2005,2.936,10/2005,2005
10/17/2005,2.801,10/2005,2005
10/24/2005,2.672,10/2005,2005
10/31/2005,2.542,10/2005,2005
11/07/2005,2.436,11/2005,2005
11/14/2005,2.355,11/2005,2005
11/21/2005,2.263,11/2005,2005
11/28/2005,2.217,11/2005,2005
12/05/2005,2.214,12/2005,2005
12/12/2005,2.265,12/2005,2005
12/19/2005,2.296,12/2005,2005
12/26/2005,2.278,12/2005,2005
01/02/2006,2.321,01/2006,2006
01/09/2006,2.41,01/2006,2006
01/16/2006,2.392,01/2006,2006
01/23/2006,2.409,01/2006,2006
01/30/2006,2.422,01/2006,2006
02/06/2006,2.404,02/2006,2006
02/13/2006,2.344,02/2006,2006
02/20/2006,2.301,02/2006,2006
02/27/2006,2.323,02/2006,2006
03/06/2006,2.407,03/2006,2006
