my,year,value_x,value_y,crisis,exch_usd
02/2011,2011,90.0141052631579,3.2754999999999996,0,8.1429
02/2011,2011,90.0141052631579,3.2754999999999996,1,0.77
02/2011,2011,90.0141052631579,3.2754999999999996,0,113.9013
02/2011,2011,90.0141052631579,3.2754999999999996,0,0.77
02/2011,2011,90.0141052631579,3.2754999999999996,0,30.27
02/2011,2011,90.0141052631579,3.2754999999999996,0,31.6912
02/2011,2011,90.0141052631579,3.2754999999999996,0,1.4993
02/2011,2011,90.0141052631579,3.2754999999999996,0,1.674954552
02/2011,2011,90.0141052631579,3.2754999999999996,1,0.624140836
02/2011,2011,90.0141052631579,3.2754999999999996,0,1.5535
02/2011,2011,90.0141052631579,3.2754999999999996,0,19.898
02/2011,2011,90.0141052631579,3.2754999999999996,0,4.29465
02/2011,2011,90.0141052631579,3.2754999999999996,0,5.11398
02/2011,2011,90.0141052631579,3.2754999999999996,0,361.9
02/2012,2012,102.29969999999997,3.63925,0,78.1025
02/2012,2012,102.29969999999997,3.63925,0,95.82588521
02/2012,2012,102.29969999999997,3.63925,0,4.915
02/2012,2012,102.29969999999997,3.63925,0,0.961076406
02/2012,2012,102.29969999999997,3.63925,0,0.76
02/2012,2012,102.29969999999997,3.63925,1,0.76
02/2012,2012,102.29969999999997,3.63925,0,6.91
02/2012,2012,102.29969999999997,3.63925,0,2.0429
02/2012,2012,102.29969999999997,3.63925,0,0.9921
02/2012,2012,102.29969999999997,3.63925,0,497.1631044
02/2012,2012,102.29969999999997,3.63925,0,478.26
02/2012,2012,102.29969999999997,3.63925,0,6.2301
02/2012,2012,102.29969999999997,3.63925,0,1766
02/2012,2012,102.29969999999997,3.63925,0,511.384
02/2012,2012,102.29969999999997,3.63925,0,0
02/2012,2012,102.29969999999997,3.63925,1,5.6591
02/2012,2012,102.29969999999997,3.63925,0,40.3645
02/2012,2012,102.29969999999997,3.63925,0,25000
02/2012,2012,102.29969999999997,3.63925,0,6.3057
02/2012,2012,102.29969999999997,3.63925,0,8.7475
02/2012,2012,102.29969999999997,3.63925,0,0.76
02/2012,2012,102.29969999999997,3.63925,1,0.7577
02/2012,2012,102.29969999999997,3.63925,0,0.76
02/2012,2012,102.29969999999997,3.63925,0,1.88
02/2012,2012,102.29969999999997,3.63925,1,0.76
02/2012,2012,102.29969999999997,3.63925,0,7.89494
02/2012,2012,102.29969999999997,3.63925,0,19.96
02/2012,2012,102.29969999999997,3.63925,1,220.93
02/2012,2012,102.29969999999997,3.63925,1,128.99
02/2012,2012,102.29969999999997,3.63925,0,54.7773
02/2012,2012,102.29969999999997,3.63925,0,9670
02/2012,2012,102.29969999999997,3.63925,1,0.76
02/2012,2012,102.29969999999997,3.63925,0,86.55
02/2012,2012,102.29969999999997,3.63925,0,86.0008
02/2012,2012,102.29969999999997,3.63925,0,1070.6
02/2012,2012,102.29969999999997,3.63925,0,3.05825
02/2012,2012,102.29969999999997,3.63925,0,30.52
02/2012,2012,102.29969999999997,3.63925,0,13.0101
02/2012,2012,102.29969999999997,3.63925,0,8.4335
02/2012,2012,102.29969999999997,3.63925,0,855
02/2012,2012,102.29969999999997,3.63925,1,0.76
02/2012,2012,102.29969999999997,3.63925,0,1.219066195
02/2012,2012,102.29969999999997,3.63925,0,24.1255
02/2012,2012,102.29969999999997,3.63925,1,155.27
02/2012,2012,102.29969999999997,3.63925,0,5.57
02/2012,2012,102.29969999999997,3.63925,0,1
02/2012,2012,102.29969999999997,3.63925,0,4288.8
02/2012,2012,102.29969999999997,3.63925,0,2.55
02/2012,2012,102.29969999999997,3.63925,0,41.192
02/2012,2012,102.29969999999997,3.63925,0,3.0996
02/2012,2012,102.29969999999997,3.63925,1,0.76
02/2012,2012,102.29969999999997,3.63925,1,30.3727
02/2012,2012,102.29969999999997,3.63925,0,1.2235
02/2012,2012,102.29969999999997,3.63925,0,8.50115
02/2012,2012,102.29969999999997,3.63925,1,0.76
02/2012,2012,102.29969999999997,3.63925,0,127.16
02/2012,2012,102.29969999999997,3.63925,0,0.76
02/2012,2012,102.29969999999997,3.63925,0,29.045
02/2012,2012,102.29969999999997,3.63925,0,30.6316
